market,BBW_THRESHOLD,BB_PERIOD,BB_STD_DEV,ATR_MULTIPLIER_TP,ATR_MULTIPLIER_SL,trading_fee,win_count,loss_count,pnl
AVAAIUSDT,0.06,21,1.7,4,2.0,0.0061,97,132,245.67868526822568
AVAAIUSDT,0.07,21,1.7,4,1.0,0.0061,84,163,243.0339555541143
AVAAIUSDT,0.07,19,1.8,3,3.0,0.0061,105,67,236.82374851725865
AVAAIUSDT,0.07,21,1.9,4,2.0,0.0061,75,86,232.62850692289936
AVAAIUSDT,0.07,21,1.8,4,2.0,0.0061,77,89,230.36933435061485
AVAAIUSDT,0.07,21,1.9,3,3.0,0.0061,98,63,229.96879661932888
AVAAIUSDT,0.07,21,1.7,3,3.0,0.0061,106,73,229.391404327136
AVAAIUSDT,0.06,21,1.8,4,2.0,0.0061,93,124,229.3686226504805
AVAAIUSDT,0.07,21,1.7,4,2.0,0.0061,81,101,225.5004077464309
AVAAIUSDT,0.07,20,1.8,4,2.0,0.0061,77,93,224.04785296373643
AVAAIUSDT,0.07,20,1.9,3,3.0,0.0061,98,64,222.67204745423032
AVAAIUSDT,0.06,19,1.7,4,2.0,0.0061,92,129,220.69700173638296
AVAAIUSDT,0.07,20,1.9,4,2.0,0.0061,74,88,218.06458658753468
AVAAIUSDT,0.04,21,1.7,3,3.0,0.0061,150,117,214.92206188908767
AVAAIUSDT,0.07,21,1.8,4,1.0,0.0061,77,153,214.8942056550519
AVAAIUSDT,0.05,21,1.7,3,3.0,0.0061,145,110,214.66788944753856
AVAAIUSDT,0.05,20,1.7,2,2.0,0.0061,220,170,214.43065402228063
AVAAIUSDT,0.06,21,1.7,3,3.0,0.0061,123,91,213.6720631813901
AVAAIUSDT,0.07,20,1.8,3,3.0,0.0061,100,68,212.5071140796896
AVAAIUSDT,0.06,21,1.7,4,1.0,0.0061,96,224,212.03745452010693
AVAAIUSDT,0.07,21,1.8,3,3.0,0.0061,100,69,210.5714570087285
AVAAIUSDT,0.05,19,1.8,3,3.0,0.0061,144,108,209.7691698149108
AVAAIUSDT,0.05,18,1.8,3,2.0,0.0061,147,157,208.1861018027184
AVAAIUSDT,0.05,21,1.7,2,2.0,0.0061,217,169,207.4107329252116
AVAAIUSDT,0.08,19,1.7,2,2.0,0.0061,116,70,207.0089088436859
AVAAIUSDT,0.07,19,1.7,4,2.0,0.0061,78,99,206.81252004883868
AVAAIUSDT,0.08,21,1.7,2,2.0,0.0061,115,71,206.65653699556293
AVAAIUSDT,0.05,19,1.9,3,2.0,0.0061,142,153,205.351668346478
AVAAIUSDT,0.06,20,1.7,4,2.0,0.0061,90,129,204.8298103026309
AVAAIUSDT,0.08,18,1.7,2,2.0,0.0061,116,72,204.27610159429776
AVAAIUSDT,0.07,19,1.8,4,2.0,0.0061,77,96,204.2216893555809
AVAAIUSDT,0.07,21,1.9,4,1.0,0.0061,73,145,203.7656469851878
AVAAIUSDT,0.07,20,1.7,4,1.0,0.0061,83,169,203.63398633497843
AVAAIUSDT,0.05,19,1.7,4,2.0,0.0061,102,147,203.39006167174
AVAAIUSDT,0.07,20,1.9,4,1.0,0.0061,72,146,203.35532534144704
AVAAIUSDT,0.07,20,1.7,4,2.0,0.0061,77,100,203.12810042545715
AVAAIUSDT,0.05,19,1.7,2,2.0,0.0061,217,170,202.7306528819693
AVAAIUSDT,0.06,20,1.8,4,2.0,0.0061,91,128,201.99549032157955
AVAAIUSDT,0.06,18,1.9,3,3.0,0.0061,119,85,200.83612043506324
AVAAIUSDT,0.07,20,1.8,4,1.0,0.0061,75,153,200.34120231916623
AVAAIUSDT,0.05,21,1.8,3,3.0,0.0061,141,108,200.17733664021696
AVAAIUSDT,0.06,19,1.8,3,3.0,0.0061,121,90,196.6509742212712
AVAAIUSDT,0.05,20,1.8,4,2.0,0.0061,101,144,196.57516351171552
AVAAIUSDT,0.05,18,1.8,4,1.0,0.0061,112,269,196.3568128783988
AVAAIUSDT,0.05,21,1.7,4,2.0,0.0061,102,149,195.9178667103196
AVAAIUSDT,0.06,21,1.9,4,2.0,0.0061,88,122,195.8650168227469
AVAAIUSDT,0.05,21,1.8,4,2.0,0.0061,100,141,195.86217390537988
AVAAIUSDT,0.04,21,1.8,3,3.0,0.0061,144,117,195.0755964837512
AVAAIUSDT,0.07,21,2.0,4,2.0,0.0061,68,82,194.9005569025926
AVAAIUSDT,0.07,18,1.8,4,1.0,0.0061,76,159,194.76962086794032
AVAAIUSDT,0.05,20,1.8,3,3.0,0.0061,140,108,194.5164804858817
AVAAIUSDT,0.05,21,1.8,2,2.0,0.0061,207,159,192.6784171105652
AVAAIUSDT,0.05,18,1.9,3,3.0,0.0061,137,104,192.32165449767
AVAAIUSDT,0.08,21,1.8,2,2.0,0.0061,108,65,192.21017551211943
AVAAIUSDT,0.08,21,1.7,4,1.0,0.0061,63,127,192.02952450564703
AVAAIUSDT,0.06,21,1.8,3,3.0,0.0061,118,89,191.46211286104804
AVAAIUSDT,0.04,20,1.7,3,3.0,0.0061,152,119,190.9955046549988
AVAAIUSDT,0.08,20,1.7,2,2.0,0.0061,114,73,190.4007612245157
AVAAIUSDT,0.04,21,1.7,4,2.0,0.0061,112,171,190.34005464995064
AVAAIUSDT,0.07,18,1.8,4,2.0,0.0061,75,95,190.2848180702188
AVAAIUSDT,0.04,19,1.8,3,3.0,0.0061,146,117,190.2501530274224
AVAAIUSDT,0.05,19,1.8,4,2.0,0.0061,101,143,190.2284399355899
AVAAIUSDT,0.06,21,1.8,4,1.0,0.0061,90,211,188.31976930739705
AVAAIUSDT,0.05,21,1.8,4,1.0,0.0061,108,261,188.20242375561
AVAAIUSDT,0.07,19,1.7,4,1.0,0.0061,81,169,188.14445625280024
AVAAIUSDT,0.05,21,1.7,3,2.0,0.0061,141,164,187.96120711724905
AVAAIUSDT,0.08,21,1.7,3,1.0,0.0061,82,134,187.74495920277965
AVAAIUSDT,0.07,21,1.9,3,2.0,0.0061,91,95,187.66356149923533
AVAAIUSDT,0.07,18,1.9,3,3.0,0.0061,95,66,187.5959406505532
AVAAIUSDT,0.06,20,1.8,3,3.0,0.0061,117,89,186.9762637388098
AVAAIUSDT,0.06,18,1.7,4,2.0,0.0061,89,133,186.51012230726616
AVAAIUSDT,0.05,20,1.9,3,3.0,0.0061,136,105,185.8828366043548
AVAAIUSDT,0.07,19,1.8,4,1.0,0.0061,74,156,185.652007671582
AVAAIUSDT,0.06,18,1.8,4,1.0,0.0061,91,217,185.1326579608214
AVAAIUSDT,0.07,19,1.7,2,2.0,0.0061,142,103,184.7552338738888
AVAAIUSDT,0.04,21,1.8,4,1.0,0.0061,120,303,184.45286881472944
AVAAIUSDT,0.06,20,1.7,4,1.0,0.0061,97,227,184.3877410055969
AVAAIUSDT,0.06,19,1.8,4,2.0,0.0061,90,129,184.2291657106641
AVAAIUSDT,0.08,20,1.8,2,2.0,0.0061,106,65,183.97056273183125
AVAAIUSDT,0.05,20,1.8,4,1.0,0.0061,108,261,183.79809569277376
AVAAIUSDT,0.07,21,1.7,1,1.0,0.0061,213,149,183.54502460100323
AVAAIUSDT,0.04,21,1.8,3,1.0,0.0061,171,349,183.49172227431507
AVAAIUSDT,0.05,20,1.7,4,2.0,0.0061,100,148,183.1927043186097
AVAAIUSDT,0.05,19,1.7,3,2.0,0.0061,144,162,182.8598542983464
AVAAIUSDT,0.07,21,1.8,3,2.0,0.0061,94,100,182.7893077027946
AVAAIUSDT,0.04,18,2.1,4,1.0,0.0061,111,272,182.6272896778489
AVAAIUSDT,0.04,21,1.7,1,1.0,0.0061,449,382,182.5799016752753
AVAAIUSDT,0.06,20,1.9,3,3.0,0.0061,113,84,182.49902194460543
AVAAIUSDT,0.05,21,1.8,3,1.0,0.0061,150,285,182.49332875688896
AVAAIUSDT,0.05,21,1.8,3,2.0,0.0061,137,158,182.3343224995088
AVAAIUSDT,0.04,18,2.2,4,1.0,0.0061,104,248,182.07700373606696
AVAAIUSDT,0.08,19,1.8,2,2.0,0.0061,109,68,182.0546647924872
AVAAIUSDT,0.05,20,1.9,4,1.0,0.0061,103,248,181.87118640516152
AVAAIUSDT,0.07,19,1.8,3,2.0,0.0061,97,102,181.59746053704907
AVAAIUSDT,0.05,18,1.9,3,2.0,0.0061,139,157,181.393657197734
AVAAIUSDT,0.04,20,1.8,4,1.0,0.0061,120,303,181.30802007158704
AVAAIUSDT,0.05,19,1.8,3,2.0,0.0061,140,160,181.1375172693733
AVAAIUSDT,0.07,19,1.9,4,1.0,0.0061,71,150,181.12570127040493
AVAAIUSDT,0.07,18,1.7,2,2.0,0.0061,140,103,181.00609660596115
AVAAIUSDT,0.07,18,1.7,4,2.0,0.0061,75,101,180.9746050822477
AVAAIUSDT,0.07,18,1.8,3,3.0,0.0061,99,69,180.9460550934305
AVAAIUSDT,0.05,21,1.9,4,1.0,0.0061,104,251,180.8991819209727
AVAAIUSDT,0.04,20,1.8,3,1.0,0.0061,172,349,180.6115060344496
AVAAIUSDT,0.04,20,1.8,4,2.0,0.0061,108,164,180.43137667096155
AVAAIUSDT,0.07,19,1.9,4,2.0,0.0061,73,92,180.32585295218863
AVAAIUSDT,0.05,21,1.9,3,2.0,0.0061,135,155,179.93684341606934
AVAAIUSDT,0.05,20,1.8,3,1.0,0.0061,153,288,179.46587531330837
AVAAIUSDT,0.05,18,1.7,2,2.0,0.0061,211,174,179.11781818467583
AVAAIUSDT,0.05,19,1.9,4,1.0,0.0061,105,252,178.90836379991643
AVAAIUSDT,0.05,19,1.8,4,1.0,0.0061,108,263,178.8862231580206
AVAAIUSDT,0.06,21,1.9,3,3.0,0.0061,112,85,178.85501106572914
AVAAIUSDT,0.04,21,1.9,3,2.0,0.0061,152,185,178.4556552739685
AVAAIUSDT,0.05,20,1.9,3,1.0,0.0061,145,269,178.36790534567425
AVAAIUSDT,0.07,21,1.7,3,2.0,0.0061,98,109,178.01735877161244
AVAAIUSDT,0.06,20,1.9,4,1.0,0.0061,85,203,177.7394280134729
AVAAIUSDT,0.08,21,1.7,1,1.0,0.0061,164,107,177.54954451424683
AVAAIUSDT,0.05,21,1.9,3,3.0,0.0061,133,105,177.42342353596985
AVAAIUSDT,0.07,18,2.1,4,1.0,0.0061,60,121,177.34303098354434
AVAAIUSDT,0.07,21,1.8,3,1.0,0.0061,97,166,175.92053179010438
AVAAIUSDT,0.04,21,1.7,3,2.0,0.0061,158,196,175.56231727933317
AVAAIUSDT,0.07,21,2.0,4,1.0,0.0061,66,136,175.49399089000673
AVAAIUSDT,0.05,20,1.8,2,2.0,0.0061,205,161,175.33414087176948
AVAAIUSDT,0.05,20,1.7,3,3.0,0.0061,146,113,175.11472983218616
AVAAIUSDT,0.06,21,1.9,4,1.0,0.0061,85,203,174.96580292658075
AVAAIUSDT,0.05,18,1.8,4,2.0,0.0061,98,141,174.94079504023347
AVAAIUSDT,0.07,21,1.7,3,1.0,0.0061,103,178,174.90130315949324
AVAAIUSDT,0.05,19,1.8,2,2.0,0.0061,207,165,174.43974001001504
AVAAIUSDT,0.06,19,1.8,4,1.0,0.0061,89,214,174.2903954881423
AVAAIUSDT,0.05,20,1.9,3,2.0,0.0061,134,152,173.61389708489895
AVAAIUSDT,0.04,20,1.8,3,3.0,0.0061,140,116,173.532580678748
AVAAIUSDT,0.04,18,1.9,3,3.0,0.0061,141,116,173.3917968841533
AVAAIUSDT,0.04,19,1.7,4,2.0,0.0061,108,170,173.3375530936546
AVAAIUSDT,0.08,21,1.9,2,2.0,0.0061,100,61,173.3014404532542
AVAAIUSDT,0.06,19,1.9,4,1.0,0.0061,86,203,173.11771949127888
AVAAIUSDT,0.04,21,1.9,4,1.0,0.0061,117,299,172.850498619151
AVAAIUSDT,0.08,21,1.8,3,1.0,0.0061,75,124,172.81229348260447
AVAAIUSDT,0.04,19,1.8,3,2.0,0.0061,156,192,172.78782852744314
AVAAIUSDT,0.05,21,1.9,2,2.0,0.0061,194,152,172.69480271045558
AVAAIUSDT,0.06,20,1.8,4,1.0,0.0061,88,213,172.56970311960762
AVAAIUSDT,0.05,21,1.7,4,1.0,0.0061,109,279,172.47418225408532
AVAAIUSDT,0.07,20,1.9,3,2.0,0.0061,91,97,172.3068585964792
AVAAIUSDT,0.05,18,1.7,4,2.0,0.0061,99,150,172.2958320763501
AVAAIUSDT,0.05,19,1.7,3,3.0,0.0061,143,111,171.91061214126864
