market,BBW_THRESHOLD,BB_PERIOD,BB_STD_DEV,ATR_MULTIPLIER_TP,ATR_MULTIPLIER_SL,trading_fee,win_count,loss_count,pnl
BUZZUSDT,0.07,20,1.8,4,1.0,0.0061,91,200,278.52288251157813
BUZZUSDT,0.07,20,1.7,4,1.0,0.0061,95,211,275.8747510990302
BUZZUSDT,0.08,20,1.8,4,2.0,0.0061,79,94,273.1428212682448
BUZZUSDT,0.07,21,1.8,4,1.0,0.0061,91,203,271.90342873028953
BUZZUSDT,0.07,19,1.7,4,1.0,0.0061,95,214,267.8318283440263
BUZZUSDT,0.04,21,2.1,4,4.0,0.0061,93,66,264.36103926253867
BUZZUSDT,0.07,18,1.7,4,1.0,0.0061,94,212,264.1721260767201
BUZZUSDT,0.06,20,1.7,4,2.0,0.0061,99,139,262.7753311637347
BUZZUSDT,0.07,21,1.7,4,1.0,0.0061,95,214,262.003680886662
BUZZUSDT,0.08,21,1.9,4,2.0,0.0061,75,89,261.1376334903942
BUZZUSDT,0.05,21,2.1,3,2.0,0.0061,142,148,260.8125262363652
BUZZUSDT,0.08,20,1.9,4,3.0,0.0061,70,60,256.52909889114386
BUZZUSDT,0.04,20,1.8,4,2.0,0.0061,111,156,256.3525814747802
BUZZUSDT,0.08,20,1.7,4,2.0,0.0061,80,103,255.8889001650849
BUZZUSDT,0.05,19,1.7,3,2.0,0.0061,157,175,255.1456021350573
BUZZUSDT,0.08,21,1.8,4,2.0,0.0061,79,98,253.8114150665927
BUZZUSDT,0.04,21,1.9,4,4.0,0.0061,92,69,252.74157985240808
BUZZUSDT,0.04,20,1.9,4,4.0,0.0061,90,68,252.44633113349065
BUZZUSDT,0.04,19,2.2,4,4.0,0.0061,88,64,251.2614430702844
BUZZUSDT,0.06,21,1.7,4,2.0,0.0061,97,138,250.5482384306516
BUZZUSDT,0.04,21,2.0,4,4.0,0.0061,90,67,249.3473881726352
BUZZUSDT,0.08,19,1.7,4,2.0,0.0061,80,103,247.5976920357168
BUZZUSDT,0.06,20,1.8,4,2.0,0.0061,98,137,246.8753551609595
BUZZUSDT,0.08,19,1.9,4,2.0,0.0061,75,92,246.2711206760904
BUZZUSDT,0.05,21,1.7,3,2.0,0.0061,153,173,245.3878972519701
BUZZUSDT,0.04,21,2.0,3,2.0,0.0061,156,169,244.292893108719
BUZZUSDT,0.08,20,1.9,4,2.0,0.0061,74,90,243.5323299777124
BUZZUSDT,0.06,19,1.7,4,2.0,0.0061,98,141,243.3911332927036
BUZZUSDT,0.08,21,2.0,4,2.0,0.0061,73,84,243.15183110948948
BUZZUSDT,0.04,19,1.9,4,2.0,0.0061,113,157,242.94766156397085
BUZZUSDT,0.04,19,1.7,3,2.0,0.0061,168,195,242.11382129426013
BUZZUSDT,0.08,18,1.8,4,3.0,0.0061,72,63,241.2888066809711
BUZZUSDT,0.09,20,1.8,3,1.5,0.0061,81,93,241.1499560806668
BUZZUSDT,0.1,20,1.8,4,1.0,0.0061,54,100,240.87561241404708
BUZZUSDT,0.07,21,1.7,4,2.0,0.0061,87,119,240.71738008330183
BUZZUSDT,0.06,20,1.9,4,4.0,0.0061,82,63,240.17544825364047
BUZZUSDT,0.04,21,2.1,3,2.0,0.0061,149,161,239.94457261824164
BUZZUSDT,0.05,21,2.0,3,2.0,0.0061,147,160,239.88629349301425
BUZZUSDT,0.05,21,1.7,3,3.0,0.0061,140,111,238.9203631731308
BUZZUSDT,0.05,19,2.2,4,4.0,0.0061,84,62,238.55916320443143
BUZZUSDT,0.07,21,1.9,4,3.0,0.0061,76,70,238.44452392485545
BUZZUSDT,0.07,20,1.9,4,1.0,0.0061,84,193,238.36157233205017
BUZZUSDT,0.08,21,1.7,4,2.0,0.0061,77,102,237.6724466079845
BUZZUSDT,0.05,21,1.7,3,1.5,0.0061,158,232,237.28293904848368
BUZZUSDT,0.05,20,1.9,4,4.0,0.0061,87,69,236.6564349870117
BUZZUSDT,0.08,21,1.9,4,3.0,0.0061,70,62,236.57093792545805
BUZZUSDT,0.07,21,1.9,4,1.0,0.0061,84,190,236.1001294924393
BUZZUSDT,0.06,21,1.7,3,3.0,0.0061,126,98,235.8922476967224
BUZZUSDT,0.09,20,1.8,4,1.0,0.0061,64,124,235.62222527457067
BUZZUSDT,0.07,20,1.9,4,4.0,0.0061,76,53,235.5459135954274
BUZZUSDT,0.05,21,2.1,3,1.5,0.0061,141,195,235.38003993021536
BUZZUSDT,0.07,20,1.7,4,2.0,0.0061,88,122,235.29193197332484
BUZZUSDT,0.04,21,1.7,4,2.0,0.0061,108,156,235.2407858143868
BUZZUSDT,0.04,20,2.1,4,4.0,0.0061,88,66,235.1944055820779
BUZZUSDT,0.07,19,2.2,4,3.0,0.0061,72,61,234.94432640740425
BUZZUSDT,0.05,20,1.7,3,2.0,0.0061,157,180,233.5095558078449
BUZZUSDT,0.07,18,1.8,4,1.0,0.0061,88,206,233.2153590784604
BUZZUSDT,0.06,20,2.0,4,4.0,0.0061,82,61,232.90115754102987
BUZZUSDT,0.09,21,1.9,3,1.5,0.0061,78,86,232.4631791661904
BUZZUSDT,0.1,21,1.8,4,1.0,0.0061,54,104,232.137581159613
BUZZUSDT,0.06,21,1.7,3,1.5,0.0061,139,203,231.72194421498943
BUZZUSDT,0.07,18,1.9,4,1.0,0.0061,84,193,231.66818937423963
BUZZUSDT,0.07,20,2.2,4,3.0,0.0061,74,62,231.0777026826429
BUZZUSDT,0.06,21,1.7,3,2.0,0.0061,139,155,230.98473147914905
BUZZUSDT,0.04,19,1.8,4,2.0,0.0061,110,160,230.89478945263005
BUZZUSDT,0.05,20,2.1,3,2.0,0.0061,140,157,230.81298940227484
BUZZUSDT,0.07,21,1.9,4,2.0,0.0061,84,111,230.48252235629977
BUZZUSDT,0.06,21,1.9,4,4.0,0.0061,82,63,230.0195307949396
BUZZUSDT,0.04,18,1.8,3,2.0,0.0061,165,191,229.0263048477776
BUZZUSDT,0.07,20,1.8,4,2.0,0.0061,87,120,228.5038894888709
BUZZUSDT,0.09,21,1.8,4,1.0,0.0061,64,127,228.4912341138409
BUZZUSDT,0.07,19,1.7,4,2.0,0.0061,88,123,228.40822643555907
BUZZUSDT,0.08,19,1.8,4,2.0,0.0061,75,95,227.6879810523925
BUZZUSDT,0.09,21,1.7,3,1.5,0.0061,85,103,227.18488587439688
BUZZUSDT,0.04,20,2.1,3,2.0,0.0061,149,169,227.11932029811143
BUZZUSDT,0.05,20,2.2,4,4.0,0.0061,83,62,226.6535905698857
BUZZUSDT,0.07,21,2.0,4,3.0,0.0061,75,68,226.51846115153097
