market,BBW_THRESHOLD,BB_PERIOD,BB_STD_DEV,ATR_MULTIPLIER_TP,ATR_MULTIPLIER_SL,trading_fee,win_count,loss_count,pnl
PIPPINUSDT,0.06,18,1.7,4,4.0,0.0061,75,58,139.42499035337255
PIPPINUSDT,0.04,18,1.7,4,4.0,0.0061,85,72,119.6426722870406
PIPPINUSDT,0.06,20,1.7,4,4.0,0.0061,74,60,119.46076603434037
PIPPINUSDT,0.04,19,1.8,4,4.0,0.0061,90,75,118.21168085079742
PIPPINUSDT,0.04,20,1.7,4,4.0,0.0061,88,76,117.14382260453972
PIPPINUSDT,0.06,21,1.7,4,4.0,0.0061,73,60,114.08865214358568
PIPPINUSDT,0.08,19,1.7,1,1.0,0.0061,135,96,110.93241121922102
PIPPINUSDT,0.06,21,1.8,4,4.0,0.0061,71,59,108.6792083041475
PIPPINUSDT,0.04,20,1.9,4,4.0,0.0061,87,76,106.53986091916568
PIPPINUSDT,0.06,19,1.8,4,4.0,0.0061,71,58,106.16148991651508
PIPPINUSDT,0.04,20,1.8,4,4.0,0.0061,87,76,105.00063470872712
PIPPINUSDT,0.08,20,1.9,3,3.0,0.0061,57,45,104.13442443919206
PIPPINUSDT,0.06,21,1.9,4,4.0,0.0061,69,56,101.8093238824282
PIPPINUSDT,0.06,19,1.7,4,4.0,0.0061,73,61,100.89089539157972
PIPPINUSDT,0.04,18,1.8,4,4.0,0.0061,84,74,100.82192590471855
PIPPINUSDT,0.04,21,1.7,4,4.0,0.0061,86,76,100.54805963481569
PIPPINUSDT,0.08,21,1.8,3,3.0,0.0061,62,49,99.03229143511425
PIPPINUSDT,0.07,21,1.9,4,1.0,0.0061,61,143,98.62243461618252
PIPPINUSDT,0.06,20,1.9,4,4.0,0.0061,69,57,97.7435756797029
PIPPINUSDT,0.06,20,1.8,4,4.0,0.0061,71,60,95.82231281762172
PIPPINUSDT,0.05,21,1.9,4,1.0,0.0061,92,235,95.45482489931346
PIPPINUSDT,0.05,21,1.8,4,4.0,0.0061,81,71,94.5482351586286
PIPPINUSDT,0.04,19,1.8,4,2.0,0.0061,102,168,94.43406305356922
PIPPINUSDT,0.04,21,1.8,4,4.0,0.0061,84,75,93.65932477810426
PIPPINUSDT,0.05,18,2.0,4,1.0,0.0061,88,221,92.04941720223952
PIPPINUSDT,0.04,20,1.8,4,2.0,0.0061,102,167,91.9618796012422
PIPPINUSDT,0.05,19,1.7,4,4.0,0.0061,83,72,91.61203263586911
PIPPINUSDT,0.05,20,1.9,4,1.0,0.0061,93,239,91.3506408249072
PIPPINUSDT,0.05,20,1.7,4,4.0,0.0061,82,73,91.0076897531072
PIPPINUSDT,0.06,18,1.8,4,4.0,0.0061,69,59,90.25082415217403
PIPPINUSDT,0.08,21,1.7,1,1.0,0.0061,134,102,90.03839949813472
PIPPINUSDT,0.05,19,2.0,4,1.0,0.0061,87,220,89.94231851232318
PIPPINUSDT,0.04,18,2.0,4,1.0,0.0061,105,286,88.81802633726984
PIPPINUSDT,0.05,19,1.9,4,1.0,0.0061,93,236,88.01213979926594
PIPPINUSDT,0.05,18,1.7,4,4.0,0.0061,76,68,87.29846276647355
PIPPINUSDT,0.07,19,1.8,4,1.0,0.0061,62,153,86.95392588896627
PIPPINUSDT,0.05,20,2.0,4,1.0,0.0061,86,219,86.82637971559988
PIPPINUSDT,0.05,21,2.0,4,1.0,0.0061,86,218,86.27159310121407
PIPPINUSDT,0.07,19,2.0,4,1.0,0.0061,55,128,85.97487413849709
PIPPINUSDT,0.04,21,2.0,4,2.0,0.0061,96,158,85.95166351885716
PIPPINUSDT,0.04,21,1.9,4,2.0,0.0061,98,164,85.78419616861541
PIPPINUSDT,0.05,19,1.8,4,1.0,0.0061,94,249,85.58040915808964
PIPPINUSDT,0.06,20,1.7,4,2.0,0.0061,74,118,85.48378678008793
PIPPINUSDT,0.05,18,1.9,4,1.0,0.0061,92,234,85.41302537415125
PIPPINUSDT,0.08,20,1.7,1,1.0,0.0061,131,100,85.04704357160568
PIPPINUSDT,0.08,21,1.9,3,3.0,0.0061,56,45,84.85609027372885
PIPPINUSDT,0.07,20,1.9,4,1.0,0.0061,61,147,84.72954484630702
PIPPINUSDT,0.06,21,2.0,4,2.0,0.0061,66,105,84.67366043020337
PIPPINUSDT,0.07,21,1.7,4,1.0,0.0061,64,159,84.58337150002279
PIPPINUSDT,0.06,18,1.7,4,2.0,0.0061,72,115,84.27127662753581
PIPPINUSDT,0.07,21,2.0,4,1.0,0.0061,56,132,84.19459700496188
PIPPINUSDT,0.07,18,1.8,4,1.0,0.0061,61,150,83.51467701671623
PIPPINUSDT,0.07,20,2.0,4,1.0,0.0061,56,132,83.49593967880026
PIPPINUSDT,0.07,20,1.8,4,1.0,0.0061,62,155,83.21537319714227
PIPPINUSDT,0.04,19,1.7,4,4.0,0.0061,87,78,83.11979095474871
PIPPINUSDT,0.07,19,1.9,4,1.0,0.0061,59,142,81.90258273429129
PIPPINUSDT,0.05,19,1.8,4,4.0,0.0061,78,69,81.43640813118269
PIPPINUSDT,0.06,19,1.9,4,4.0,0.0061,67,57,81.31425733970005
PIPPINUSDT,0.06,21,1.8,4,2.0,0.0061,72,117,81.2796864552504
PIPPINUSDT,0.04,20,1.7,4,2.0,0.0061,103,170,81.23883823973347
PIPPINUSDT,0.08,18,1.7,1,1.0,0.0061,132,97,81.20838265594706
PIPPINUSDT,0.05,21,2.0,4,2.0,0.0061,81,127,80.81426231353836
PIPPINUSDT,0.06,20,1.8,4,2.0,0.0061,70,115,80.62112141975994
PIPPINUSDT,0.05,20,1.8,4,2.0,0.0061,86,139,80.5970474911656
PIPPINUSDT,0.04,21,1.8,4,2.0,0.0061,99,166,80.30245140255352
PIPPINUSDT,0.08,21,2.0,3,3.0,0.0061,53,43,80.27447577189443
PIPPINUSDT,0.05,21,1.7,4,4.0,0.0061,81,74,80.13553911975897
PIPPINUSDT,0.07,18,2.0,4,1.0,0.0061,55,128,79.61660696007655
PIPPINUSDT,0.04,19,1.9,4,4.0,0.0061,89,80,79.52471388887264
PIPPINUSDT,0.05,18,1.8,4,1.0,0.0061,93,248,79.32502808753925
PIPPINUSDT,0.05,20,1.8,4,1.0,0.0061,94,253,79.26143279828169
PIPPINUSDT,0.06,21,1.7,4,2.0,0.0061,73,118,79.20588411288453
PIPPINUSDT,0.06,20,2.0,4,4.0,0.0061,62,54,79.09117398267968
PIPPINUSDT,0.07,18,1.9,4,1.0,0.0061,58,139,79.08798957145967
PIPPINUSDT,0.05,19,2.1,4,1.0,0.0061,79,205,78.7527480143245
PIPPINUSDT,0.06,18,1.9,4,4.0,0.0061,66,57,78.71986152530141
PIPPINUSDT,0.05,21,1.9,4,4.0,0.0061,76,68,78.65604747244217
PIPPINUSDT,0.06,19,1.8,4,2.0,0.0061,69,115,78.05830549105416
PIPPINUSDT,0.07,18,1.7,4,1.0,0.0061,63,158,77.836208770958
PIPPINUSDT,0.05,19,1.8,4,2.0,0.0061,85,140,77.82668909724353
PIPPINUSDT,0.04,18,1.8,4,2.0,0.0061,100,166,77.7826658692473
PIPPINUSDT,0.04,19,1.7,4,2.0,0.0061,103,173,77.72729828206826
PIPPINUSDT,0.06,21,1.9,4,2.0,0.0061,68,114,77.05776553551492
PIPPINUSDT,0.07,19,1.7,4,1.0,0.0061,63,159,76.90618321854663
PIPPINUSDT,0.08,21,1.8,1,1.0,0.0061,120,93,76.60334872702255
PIPPINUSDT,0.04,18,2.1,4,1.0,0.0061,97,269,76.59332409867422
PIPPINUSDT,0.07,21,1.8,4,1.0,0.0061,62,156,76.48641256634258
PIPPINUSDT,0.04,18,1.7,4,2.0,0.0061,103,169,76.24478286334872
PIPPINUSDT,0.04,20,1.9,4,2.0,0.0061,99,166,76.07633059714175
PIPPINUSDT,0.05,18,1.7,4,2.0,0.0061,89,142,75.63513053703247
PIPPINUSDT,0.04,21,1.9,4,1.0,0.0061,106,296,75.40948142163177
PIPPINUSDT,0.05,18,2.2,4,2.0,0.0061,72,114,75.30830031875868
PIPPINUSDT,0.05,18,1.8,3,1.5,0.0061,124,201,75.08040709200952
PIPPINUSDT,0.04,19,1.8,4,1.0,0.0061,111,314,74.96840079366427
PIPPINUSDT,0.05,21,1.7,4,1.0,0.0061,97,262,74.7970057311961
PIPPINUSDT,0.06,19,2.0,4,4.0,0.0061,63,56,74.78223567583089
PIPPINUSDT,0.04,18,1.8,4,1.0,0.0061,110,312,74.15839900653515
PIPPINUSDT,0.08,19,1.8,1,1.0,0.0061,118,88,73.6783548137147
PIPPINUSDT,0.04,19,2.0,4,1.0,0.0061,101,280,73.61879205837637
PIPPINUSDT,0.07,20,1.7,4,1.0,0.0061,63,159,73.55827982146761
PIPPINUSDT,0.06,18,1.8,4,2.0,0.0061,68,113,73.33238817373471
PIPPINUSDT,0.06,19,1.7,4,2.0,0.0061,73,121,72.43644046380528
PIPPINUSDT,0.04,20,1.9,4,1.0,0.0061,107,301,72.36399544165924
PIPPINUSDT,0.08,18,1.8,1,1.0,0.0061,122,90,72.18588104585277
PIPPINUSDT,0.07,19,1.7,1,1.0,0.0061,174,141,72.1636562755527
PIPPINUSDT,0.05,21,1.9,4,2.0,0.0061,83,138,72.00855020423779
PIPPINUSDT,0.05,18,2.2,4,1.0,0.0061,72,186,71.95116863749489
PIPPINUSDT,0.06,21,1.9,4,1.0,0.0061,71,186,71.64441991735112
PIPPINUSDT,0.05,20,1.8,4,4.0,0.0061,77,71,71.44616672182055
PIPPINUSDT,0.04,19,1.7,1,1.0,0.0061,414,366,71.20371047241619
PIPPINUSDT,0.05,19,1.7,1,1.0,0.0061,307,266,70.83518178742786
PIPPINUSDT,0.08,18,1.7,4,2.0,0.0061,48,71,70.43295186178487
PIPPINUSDT,0.05,21,1.7,1,1.0,0.0061,305,262,70.29389769903632
PIPPINUSDT,0.05,21,1.8,4,2.0,0.0061,85,139,70.128750651057
PIPPINUSDT,0.08,18,1.8,3,3.0,0.0061,57,50,69.71221100927926
PIPPINUSDT,0.08,21,1.7,4,2.0,0.0061,48,73,69.23940393221356
PIPPINUSDT,0.05,19,1.7,4,2.0,0.0061,88,145,68.44638100838455
PIPPINUSDT,0.07,21,1.7,4,2.0,0.0061,62,98,68.26652315006153
PIPPINUSDT,0.07,21,1.9,4,2.0,0.0061,57,91,67.87056677413874
PIPPINUSDT,0.05,20,1.9,4,2.0,0.0061,84,138,67.78305785210947
PIPPINUSDT,0.08,18,1.7,3,2.0,0.0061,61,72,67.42705188381208
PIPPINUSDT,0.04,21,1.7,1,1.0,0.0061,408,361,67.04821836000642
PIPPINUSDT,0.05,20,1.7,4,2.0,0.0061,88,143,66.96217386852037
PIPPINUSDT,0.07,21,2.0,4,2.0,0.0061,55,86,66.79901779299597
PIPPINUSDT,0.05,21,2.0,3,2.0,0.0061,107,134,66.0114079302742
PIPPINUSDT,0.07,21,1.7,1,1.0,0.0061,173,143,65.91218085854942
PIPPINUSDT,0.06,19,1.8,4,1.0,0.0061,73,197,65.86937852638985
PIPPINUSDT,0.05,18,1.8,4,2.0,0.0061,84,138,65.81882500936098
PIPPINUSDT,0.06,20,1.9,4,2.0,0.0061,67,113,65.60681449987031
PIPPINUSDT,0.05,21,1.8,4,1.0,0.0061,94,256,65.49200055158103
PIPPINUSDT,0.05,20,1.7,4,1.0,0.0061,97,262,65.42672777720095
PIPPINUSDT,0.08,21,1.9,1,1.0,0.0061,106,80,64.68775501540416
PIPPINUSDT,0.08,19,1.8,3,3.0,0.0061,57,50,64.39908790656658
PIPPINUSDT,0.04,19,1.9,4,2.0,0.0061,96,164,63.94339625797186
PIPPINUSDT,0.05,20,2.1,3,2.0,0.0061,105,129,63.40042087914421
PIPPINUSDT,0.08,20,1.7,4,2.0,0.0061,48,74,63.238098918269685
PIPPINUSDT,0.05,19,1.9,4,2.0,0.0061,83,135,62.973729480475725
PIPPINUSDT,0.07,18,1.7,4,2.0,0.0061,60,95,62.82340462964488
PIPPINUSDT,0.05,19,2.0,3,1.5,0.0061,115,177,62.76006490542432
PIPPINUSDT,0.04,21,1.9,4,4.0,0.0061,82,77,62.73984943666313
PIPPINUSDT,0.05,18,1.7,4,1.0,0.0061,96,262,62.664502761983705
PIPPINUSDT,0.07,20,2.0,4,2.0,0.0061,54,86,62.54029952999151
PIPPINUSDT,0.07,21,1.8,4,2.0,0.0061,59,95,62.52534981920392
PIPPINUSDT,0.04,18,2.2,4,1.0,0.0061,89,250,62.1526208012373
PIPPINUSDT,0.05,18,2.1,4,1.0,0.0061,80,210,62.04546758626714
PIPPINUSDT,0.04,20,2.0,4,4.0,0.0061,83,76,61.947957139538914
PIPPINUSDT,0.04,21,2.0,4,1.0,0.0061,99,280,61.9338622937661
PIPPINUSDT,0.07,20,1.8,4,2.0,0.0061,58,94,61.920210670399605
PIPPINUSDT,0.05,20,1.9,4,4.0,0.0061,74,69,61.51859403983873
PIPPINUSDT,0.08,20,2.0,2,2.0,0.0061,66,55,61.2090782247345
PIPPINUSDT,0.05,20,2.0,4,2.0,0.0061,80,131,60.97612720643277
PIPPINUSDT,0.04,18,1.8,3,1.5,0.0061,151,254,60.74651031809388
PIPPINUSDT,0.1,21,2.2,4,3.0,0.0061,22,22,60.71077068322272
PIPPINUSDT,0.08,21,1.7,3,2.0,0.0061,61,72,60.61715831126159
PIPPINUSDT,0.04,20,1.8,4,1.0,0.0061,109,315,60.59956865413318
PIPPINUSDT,0.04,20,2.0,4,1.0,0.0061,99,280,60.51724985102233
