market,BBW_THRESHOLD,BB_PERIOD,BB_STD_DEV,ATR_MULTIPLIER_TP,ATR_MULTIPLIER_SL,trading_fee,win_count,loss_count,pnl
FWOGUSDT,0.06,20,1.7,4,3.0,0.0061,145,129,328.7290744375658
BUZZUSDT,0.07,20,1.8,4,1.0,0.0061,91,200,278.52288251157813
AVAAIUSDT,0.06,21,1.7,4,2.0,0.0061,97,132,245.67868526822568
SHELLUSDT,0.04,21,1.7,2,1.0,0.0061,100,98,209.33053892481448
FARTCOINUSDT,0.1,19,2.0,3,2.0,0.0061,78,95,184.83846657087489
POPCATUSDT,0.04,20,2.2,4,1.0,0.0061,76,155,182.8400209884173
PEAQUSDT,0.04,18,1.8,3,1.0,0.0011,121,173,169.24383896877947
1000TOSHIUSDT,0.04,21,1.7,2,1.0,0.0061,179,207,161.64882146678406
JELLYJELLYUSDT,0.09,18,2.2,4,4.0,0.0061,36,20,156.87496089151418
LUCEUSDT,0.07,18,2.1,2,2.0,0.0061,87,54,149.4339238645151
FIREUSDT,0.05,18,2.2,4,4.0,0.0061,41,19,145.69783256711145
PIPPINUSDT,0.06,18,1.7,4,4.0,0.0061,75,58,139.42499035337255
STPTUSDT,0.04,19,1.7,4,2.0,0.0061,67,71,135.27662002952383
NCUSDT,0.05,19,2.1,4,4.0,0.0061,57,37,116.33856031588248
AUDIOUSDT,0.06,21,1.8,4,4.0,0.0061,26,9,109.96166755736289
ORDERUSDT,0.05,21,1.7,3,3.0,0.0061,58,31,89.31200646564473
DBRUSDT,0.11,18,1.7,4,3.0,0.0061,10,2,71.36442735451487
NEIROETHUSDT,0.05,20,2.0,3,1.5,0.0061,61,91,49.77065248828557
MOBILEUSDT,0.05,18,1.7,2,1.5,0.0061,40,29,40.342620935451926
