Trading Pair,Biggest Win,Biggest Loss,Average Win,Average Loss,Risk-Reward Ratio,Win Rate,Longest Win Streak,Longest Loss Streak,Last PnL Value,Total Wins,Total Losses
AVAAIUSDT,16.528599580810436,-7.040472501998394,5.567443687865566,-3.0264425296561352,1.8396000034066864,0.3974763406940063,7,10,121.91556223908532,701.4979046710613,-578.0505231643218
LUCEUSDT,12.814412820512816,-9.248971189773844,5.238885192043503,-3.168516323938094,1.653419031634397,0.4227941176470588,7,9,107.21304304435736,602.4717970850028,-497.4570628582808
LAIUSDT,13.435855193482688,-7.821731262525045,5.170586385685185,-2.7338808921455318,1.8912990688586084,0.4409448818897638,4,6,98.61579743064082,289.5528375983704,-194.10554334233277
ZBCNUSDT,9.31468800352836,-5.762108119965944,4.824016360496532,-2.7041348960451166,1.783940722614027,0.4394904458598726,5,5,93.93639081905224,332.8571288742607,-237.96387085197023
BUZZUSDT,15.662969257286104,-11.980505850091408,5.593144177072991,-3.136701909204568,1.783129012246927,0.3922155688622754,7,14,93.64683193982712,732.7018871965618,-636.7504875685272
STPTUSDT,9.584873201692526,-7.963051305575159,4.627326228483514,-2.685066978251557,1.723355978068265,0.4690265486725664,7,6,87.24249711427834,245.24829010962625,-161.10401869509346
SHELLUSDT,28.305056601842377,-12.070877327935229,7.669296079145072,-4.108413066676092,1.866729550967452,0.4390243902439024,4,5,79.25283106224396,276.0946588492226,-188.98700106710024
NYANUSDT,22.681671570453148,-7.68159849767823,4.530692897983075,-2.4571276289022226,1.8438980721596725,0.4534883720930232,4,8,63.56634696778559,176.6970230213399,-115.48499855840448
1000TOSHIUSDT,14.446373596442465,-8.242260549895672,5.360048518870253,-3.0892438144570398,1.735068139907347,0.4149659863945578,5,5,58.79532082282077,326.96295965108544,-265.6749680433054
FIREUSDT,18.58317259368111,-11.164292090395486,4.8842171235804654,-2.8019367121525978,1.7431575461346336,0.425,4,7,57.75069979284476,249.0950733026037,-193.33363313852925
HYPEUSDT,9.152958145122554,-5.151963632474974,4.221384427671088,-2.263044189205528,1.865356605852695,0.4666666666666667,6,6,55.69704169389566,147.74845496848806,-90.52176756822112
POPCATUSDT,14.303201045679693,-10.46635104602511,5.641211508627124,-3.073422756141753,1.835481792198632,0.3826530612244898,4,8,54.27899746727465,423.0908631470343,-371.88415349315216
NCUSDT,16.417537759017655,-19.63864593175853,5.42398975268996,-3.2776844563166176,1.654823649127381,0.4068627450980392,5,12,51.98349865722456,450.1911494732667,-396.59981921431074
PIPPINUSDT,12.58092311333889,-8.18749317438056,5.291292476629432,-3.126287908320697,1.6925160547582707,0.3936170212765957,8,9,50.503588249220414,587.333464905867,-534.5952323228391
NEIROETHUSDT,9.516129595222305,-9.140362655906086,5.045692216941087,-2.8540387654206283,1.7679129933602893,0.4039735099337748,7,7,49.77065248828557,307.78722523340633,-256.86348888785653
ORDERUSDT,13.51195205709487,-9.906384900284898,3.675410251743128,-2.262567019278013,1.624442600120616,0.4642857142857143,4,5,43.41707371944823,143.34099981798198,-101.81551586751058
AUDIOUSDT,13.761109011264072,-8.691814285714276,4.232155276160481,-3.1869631817411563,1.3279586348557366,0.5945945945945946,5,8,43.217145645773726,93.10741607553058,-47.80444772611735
GIGAUSDT,11.951544628099178,-6.523239229792637,4.613966490835189,-2.471157836838992,1.867127393504412,0.375609756097561,8,8,42.119166032619816,355.2754197943095,-316.308203115391
TAIUSDT,13.720059977227436,-10.384180514311954,4.619594391113735,-2.700769249492639,1.7104735593318687,0.4117647058823529,4,9,41.01043309810998,258.6972859023691,-216.06153995941116
MOBILEUSDT,7.224669230769231,-4.167305766710348,3.5400186354061343,-2.1842483724105133,1.6207033413051866,0.5306122448979592,6,4,40.49720355582648,92.04048452055947,-50.23771256544181
BROCCOLIUSDT,35.40195785123967,-22.84793994959041,9.82017992195297,-5.639329089942327,1.7413737991398903,0.3897058823529412,4,7,39.46740030641063,520.4695358635074,-468.0643144652131
PEAQUSDT,12.463137079573418,-5.598754424040067,4.172095390141379,-2.4255261856466537,1.7200784781587852,0.4285714285714285,4,9,37.4580085324671,150.19543404508966,-116.42525691103938
CTCUSDT,16.00662534464475,-4.7555553376906285,5.068619321067826,-2.253035133510997,2.2496849896739906,0.425,4,6,36.677711396473526,86.16652845815304,-51.81980807075293
LQTYUSDT,10.4946436787308,-6.569907531380747,3.5956969843005147,-2.2649457035169016,1.587542243823896,0.5526315789473685,5,2,35.302730881419244,75.50963667031081,-38.50407695978733
VRUSDT,18.17319503191784,-11.89164658840792,5.704348974945165,-3.0997608096270204,1.840254563264687,0.3788819875776397,6,16,35.27194905326987,347.9652874716551,-309.97608096270204
GEMSUSDT,11.48627472766883,-5.4066400540054,5.169845730195421,-2.604388854612345,1.9850513954702576,0.375,6,8,34.834819478432024,201.62398347762144,-169.28527554980244
HEIUSDT,7.402624513987671,-4.2706241038318815,3.5710923365544653,-2.1317621573967056,1.6751832863547311,0.5,3,2,34.36160151745987,64.27966205798037,-38.371718833140704
DUCKUSDT,16.841117033993275,-11.334567153284668,5.144704124368296,-2.8193959726391693,1.824754016213076,0.3875968992248062,4,6,33.00865005092771,257.2352062184148,-222.7322818384944
JUSDT,16.665582214866088,-18.680332654114007,5.957881286691618,-3.5449673466738028,1.6806590030460569,0.3963414634146341,5,8,32.201126607846106,387.2622836349552,-350.9517673207065
ZENTUSDT,14.612557130525914,-7.962515640429036,3.971302811493649,-2.0964333523510943,1.894313886506308,0.4583333333333333,3,6,31.6979388047966,87.36866185286027,-54.507267161128446
JTOUSDT,9.777413738551203,-5.590807646176912,4.793582224840004,-2.132245938235052,2.2481375806056647,0.4090909090909091,3,5,29.6251708381939,86.28448004712007,-55.43839439411134
IDEXUSDT,9.086830191196094,-6.771814285714296,4.279621484377465,-2.755960233690673,1.5528603903860996,0.4716981132075472,5,5,28.65934455328356,106.99053710943662,-77.16688654333885
ATAUSDT,19.84627582654158,-10.752737386769134,7.0424544566640055,-3.183149653338632,2.212417015730806,0.5,4,3,28.63247188350755,56.33963565331205,-25.46519722670905
XCNUSDT,18.160659281310373,-9.434819543805087,5.392087378905019,-3.197874264528842,1.686147400701341,0.3984962406015037,4,6,28.207766929159884,285.780631081966,-255.82994116230736
SLFUSDT,12.802144387191756,-11.67203018117542,5.4925769747775375,-3.4620414894297475,1.5865139084980322,0.4246575342465753,4,7,27.79510659911717,170.26988621810366,-145.4057425560494
FUELUSDT,12.631728668363015,-8.266011894273117,4.179979482551207,-2.58603291264126,1.6163674724007906,0.4112903225806452,6,7,26.95874696676928,213.1789536101116,-188.78040262281195
