Market,Session,Trendline Slope
DOGUSDT,tokyo,0.04499061913696068
LDOUSDT,tokyo,0.043270504330106895
ACXUSDT,tokyo,0.042193126022913606
MORPHOUSDT,tokyo,0.04216642678181155
ALICEUSDT,tokyo,0.042097902097901575
DASHUSDT,tokyo,0.041965811965814004
SOLOUSDT,tokyo,0.041508295625942736
SKLUSDT,tokyo,0.041380908248378305
PHBUSDT,tokyo,0.04080419580419605
GMEUSDT,tokyo,0.03998575498575514
SNXUSDT,tokyo,0.039884615384614616
AGLDUSDT,tokyo,0.039872596153846335
ANIMEUSDT,tokyo,0.03987179487179626
BEAMUSDT,tokyo,0.03983241159711784
TLMUSDT,tokyo,0.03981370192307618
AUDIOUSDT,tokyo,0.039647435897436134
COSUSDT,tokyo,0.039632402995235336
ACTUSDT,tokyo,0.03960000000000067
MYROUSDT,tokyo,0.03959615384615381
SCRUSDT,tokyo,0.03953977646285297
BANDUSDT,tokyo,0.0392307692307693
CELOUSDT,tokyo,0.03902426432627764
ETHFIUSDT,tokyo,0.03889610389610322
1000FLOKIUSDT,tokyo,0.03879182963928752
PYRUSDT,tokyo,0.038717948717948765
FXSUSDT,tokyo,0.03867521367521438
DODOUSDT,tokyo,0.03852498017446477
AIXBTUSDT,tokyo,0.038468864468864605
MONUSDT,tokyo,0.038450226244344486
ARPAUSDT,tokyo,0.038436724565757203
TONUSDT,tokyo,0.03839141521462032
BCHUSDT,tokyo,0.03834008097165997
PORTALUSDT,tokyo,0.03831908831908916
COREUSDT,tokyo,0.0382918552036182
NULSUSDT,tokyo,0.038190883190884005
A8USDT,tokyo,0.03814789081885848
SYNUSDT,tokyo,0.03812382739211942
CHZUSDT,tokyo,0.038080586080587245
1000CATUSDT,tokyo,0.03788461538461551
PIXELUSDT,tokyo,0.037777777777776855
STRKUSDT,tokyo,0.03777414075286465
MANTAUSDT,tokyo,0.037745974955277484
AIUSDT,tokyo,0.037680097680098036
USTCUSDT,tokyo,0.03765734265734302
MBOXUSDT,tokyo,0.0376223776223767
GIGAUSDT,tokyo,0.03761452031115021
RONINUSDT,tokyo,0.037591660675773096
COOKUSDT,tokyo,0.03753846153846116
ALTUSDT,tokyo,0.03749788672865613
LTCUSDT,tokyo,0.037458588609031195
SSVUSDT,tokyo,0.03745098039215671
RSS3USDT,tokyo,0.03738833746898264
TSTBSCUSDT,tokyo,0.03733624454148536
BICOUSDT,tokyo,0.03717948717948611
RPLUSDT,tokyo,0.037170329670330356
RADUSDT,tokyo,0.03713286713286722
MOODENGUSDT,tokyo,0.03709256844850122
JTOUSDT,tokyo,0.03709030100334497
THEUSDT,tokyo,0.03701758583562652
1000000MOGUSDT,tokyo,0.03699300699300693
GOATUSDT,tokyo,0.03696153846153891
UROUSDT,tokyo,0.03691136274892613
HMSTRUSDT,tokyo,0.03687179487179502
ACEUSDT,tokyo,0.036794871794871835
SCRTUSDT,tokyo,0.03670611439842222
RSRUSDT,tokyo,0.03666818388711858
FLOWUSDT,tokyo,0.03647435897435944
CGPTUSDT,tokyo,0.03644572818485886
MEWUSDT,tokyo,0.03630114566284914
ARUSDT,tokyo,0.03629136226901539
MERLUSDT,tokyo,0.03623931623931524
SPXUSDT,tokyo,0.03623264540337715
PHAUSDT,tokyo,0.036041882645655804
GMTUSDT,tokyo,0.036013986013986886
SLPUSDT,tokyo,0.036009615384615265
ORDERUSDT,tokyo,0.03587692307692466
SANDUSDT,tokyo,0.035873180873181136
CHRUSDT,tokyo,0.035852842809363725
1000RATSUSDT,tokyo,0.035808477237048754
PEOPLEUSDT,tokyo,0.03578947368421065
CVXUSDT,tokyo,0.03565680473372765
NFPUSDT,tokyo,0.03561538461538396
LUNA2USDT,tokyo,0.035608974358972645
APTUSDT,tokyo,0.035555014605648166
ALPHAUSDT,tokyo,0.03541758241758319
VANRYUSDT,tokyo,0.0353302253302248
NOTUSDT,tokyo,0.03530503978779871
NSUSDT,tokyo,0.03529914529914534
SYSUSDT,tokyo,0.03528985507246347
AEVOUSDT,tokyo,0.03527472527472575
SAGAUSDT,tokyo,0.0352564102564102
CTKUSDT,tokyo,0.03524332810047204
HNTUSDT,tokyo,0.035169230769232
AI16ZUSDT,tokyo,0.03512250712250783
RAREUSDT,tokyo,0.03496431403647719
KASUSDT,tokyo,0.03495819397993322
BIGTIMEUSDT,tokyo,0.03491533623609165
AAVEUSDT,tokyo,0.0349140087554722
FLUXUSDT,tokyo,0.034899665551839716
LPTUSDT,tokyo,0.03487573964497009
PNUTUSDT,tokyo,0.034863523573200404
10000SATSUSDT,tokyo,0.03484615384615721
MEMEUSDT,tokyo,0.03462443438914007
ETHBTCUSDT,tokyo,0.034596622889308086
FLMUSDT,tokyo,0.03452662721893556
FWOGUSDT,tokyo,0.03449999999999933
REQUSDT,tokyo,0.03444847605224939
KSMUSDT,tokyo,0.03442307692307775
GALAUSDT,tokyo,0.034415384615385236
C98USDT,tokyo,0.03437500000000095
CATIUSDT,tokyo,0.03429864253393611
BILLYUSDT,tokyo,0.03418860897004737
COOKIEUSDT,tokyo,0.03417159763313615
ORDIUSDT,tokyo,0.03416223776223803
LEVERUSDT,tokyo,0.03414835164835137
FIDAUSDT,tokyo,0.03407692307692261
EOSUSDT,tokyo,0.03399591558883511
QUICKUSDT,tokyo,0.03397435897436074
REZUSDT,tokyo,0.03393846153846253
1000XECUSDT,tokyo,0.0338701923076911
CKBUSDT,tokyo,0.033840736728060636
SUSDT,tokyo,0.03382211538461521
MDTUSDT,tokyo,0.03382133995037037
1000XUSDT,tokyo,0.03371667936024445
FARTCOINUSDT,tokyo,0.03367154318074565
TIAUSDT,tokyo,0.03366943866943878
SUNDOGUSDT,tokyo,0.03365384615384673
1000NEIROCTOUSDT,tokyo,0.033640109890109536
STXUSDT,tokyo,0.03362980769230794
MANAUSDT,tokyo,0.03359728506787311
IOTAUSDT,tokyo,0.03342657342657331
GRTUSDT,tokyo,0.033419089271932635
ROSEUSDT,tokyo,0.03341538461538475
MAVUSDT,tokyo,0.03339160839160826
HOTUSDT,tokyo,0.0333846153846161
CHESSUSDT,tokyo,0.03336032388663914
BRETTUSDT,tokyo,0.03335284280936483
LISTAUSDT,tokyo,0.033269230769230614
BLURUSDT,tokyo,0.03315384615384662
ENSUSDT,tokyo,0.033107984651927165
USUALUSDT,tokyo,0.03309116809116831
FILUSDT,tokyo,0.033064312736444355
ENJUSDT,tokyo,0.03303846153846115
HBARUSDT,tokyo,0.03290780141843925
MEMEFIUSDT,tokyo,0.03285359801488819
SDUSDT,tokyo,0.03280128205128173
CRVUSDT,tokyo,0.03273303167420901
OPUSDT,tokyo,0.03269013472403356
ICXUSDT,tokyo,0.03267206477732874
SHIB1000USDT,tokyo,0.03266465560583466
UNIUSDT,tokyo,0.03266272189349191
API3USDT,tokyo,0.03260683760683721
AERGOUSDT,tokyo,0.0325128205128206
EDUUSDT,tokyo,0.032454991816693445
DYMUSDT,tokyo,0.03243589743589684
VELODROMEUSDT,tokyo,0.032343749999999664
CETUSUSDT,tokyo,0.0323344481605347
HOOKUSDT,tokyo,0.032324414715719764
TROYUSDT,tokyo,0.03228116710875377
METISUSDT,tokyo,0.03225961538461613
TAOUSDT,tokyo,0.03218453462547955
ETHWUSDT,tokyo,0.03208998548621207
PENGUUSDT,tokyo,0.0319838056680152
AVAUSDT,tokyo,0.031832579185519835
FIOUSDT,tokyo,0.031821862348178215
ENAUSDT,tokyo,0.031780626780627104
ONEUSDT,tokyo,0.03175480769230756
ALGOUSDT,tokyo,0.03169230769230745
DOGSUSDT,tokyo,0.031658653846152886
BALUSDT,tokyo,0.03164835164834947
APEUSDT,tokyo,0.03154977375565667
PONKEUSDT,tokyo,0.031528816011574486
1000TURBOUSDT,tokyo,0.03152488687782822
JASMYUSDT,tokyo,0.03141938133041246
AVAXUSDT,tokyo,0.03137362637362657
KNCUSDT,tokyo,0.03128205128205171
NMRUSDT,tokyo,0.03121051362430669
DEXEUSDT,tokyo,0.031166253101736444
DEEPUSDT,tokyo,0.031125013600261268
OGNUSDT,tokyo,0.03099999999999912
PYTHUSDT,tokyo,0.030945512820512784
SWELLUSDT,tokyo,0.03086538461538506
ARBUSDT,tokyo,0.030809716599192023
LINAUSDT,tokyo,0.03076923076923029
MAGICUSDT,tokyo,0.03075134168157341
OGUSDT,tokyo,0.030705128205128367
GLMRUSDT,tokyo,0.030626780626781435
RENDERUSDT,tokyo,0.03058275058275222
ADAUSDT,tokyo,0.030536038764385286
CTSIUSDT,tokyo,0.030367132867132073
COMBOUSDT,tokyo,0.030135746606334637
AXSUSDT,tokyo,0.03007444168734473
RDNTUSDT,tokyo,0.030071556350628227
OMNIUSDT,tokyo,0.029981238273921
1000PEPEUSDT,tokyo,0.029965920155793115
10000WENUSDT,tokyo,0.029956043956044363
KDAUSDT,tokyo,0.029883720930231932
COWUSDT,tokyo,0.02983974358974242
SUSHIUSDT,tokyo,0.02977301387137427
PAXGUSDT,tokyo,0.029743589743592216
DOTUSDT,tokyo,0.02973518284993737
LUCEUSDT,tokyo,0.029667832167832437
RVNUSDT,tokyo,0.02965034965034846
DOGEUSDT,tokyo,0.0295747730530345
NKNUSDT,tokyo,0.029343128781331017
TUSDT,tokyo,0.029319526627220316
TWTUSDT,tokyo,0.029285067873303646
NTRNUSDT,tokyo,0.029271255060727874
SUIUSDT,tokyo,0.02920365977634588
FLOCKUSDT,tokyo,0.029146469968387805
ICPUSDT,tokyo,0.029145299145300875
CELRUSDT,tokyo,0.029107692307692938
ORCAUSDT,tokyo,0.02906882591093083
ETCUSDT,tokyo,0.028878384185647307
DENTUSDT,tokyo,0.028713156002873358
PERPUSDT,tokyo,0.02870052277819319
MEUSDT,tokyo,0.028438490348602997
CAKEUSDT,tokyo,0.028345740281224586
1000000BABYDOGEUSDT,tokyo,0.028333878887070577
THETAUSDT,tokyo,0.02824615384615538
MYRIAUSDT,tokyo,0.02822115384615403
ATAUSDT,tokyo,0.02820512820512797
BELUSDT,tokyo,0.028036199095024084
NEARUSDT,tokyo,0.028016826923078043
GMXUSDT,tokyo,0.02800480769230985
LQTYUSDT,tokyo,0.02782869612656771
GTCUSDT,tokyo,0.027509912767645084
JUSDT,tokyo,0.027450142450142042
AXLUSDT,tokyo,0.027348608837970672
ATOMUSDT,tokyo,0.027318681318682293
1000LUNCUSDT,tokyo,0.02729179910998022
ACHUSDT,tokyo,0.027073717948718466
AKTUSDT,tokyo,0.027041420118341174
MOBILEUSDT,tokyo,0.026958855098392392
MANEKIUSDT,tokyo,0.026923076923077778
GODSUSDT,tokyo,0.026882591093117057
NEOUSDT,tokyo,0.026802197802198783
INJUSDT,tokyo,0.026741758241757396
TRBUSDT,tokyo,0.026552197802197457
