symbol,qty,position,status,stop_loss,mark_close
SUSDT,57.0,long,open,0.45913240740740746,True
PUFFERUSDT,48.0,long,closed,0.4230675925925927,True
CHZUSDT,378.0,long,open,0.05895083333333336,True
LAIUSDT,5090.0,long,open,0.004665691666666667,True
BLUEUSDT,110.0,long,open,0.12249268518518519,True
10000WENUSDT,62.0,long,closed,0.3365037037037037,True
PROSUSDT,63.0,long,open,0.3814583333333333,True
BANANAUSDT,0.75,long,open,25.19893518518518,True
LOOKSUSDT,515.5,long,closed,0.020681666666666664,True
1000LUNCUSDT,319.0,long,closed,0.07521444444444444,True
USTCUSDT,850.0,long,closed,0.01799675925925926,True
LINKUSDT,8.0,long,closed,18.450142857142858,True
SUPERUSDT,204.0,long,closed,0.7163142857142858,False
MOVEUSDT,276.0,long,closed,0.5325785714285715,False
OPUSDT,139.6,long,closed,1.0577928571428572,True
BTCUSDT,0.002,long,closed,95785.15277777777,True
SOLUSDT,1.0,long,closed,195.7492857142857,True
